time1,cali1,time2,cali2
17:57:53,-219.46,17:58:45,3.6
17:57:53,-219.46,17:58:45,3.93
17:57:53,-219.48,17:58:45,3.45
17:57:53,-219.5,17:58:45,3.19
17:57:53,-219.5,17:58:46,3.17
17:57:53,-219.52,17:58:46,3.11
17:57:53,-219.54,17:58:46,3.45
17:57:53,-219.52,17:58:46,3.95
17:57:53,-219.54,17:58:46,5.96
17:57:53,-219.56,17:58:46,9.77
17:57:53,-219.56,17:58:46,13.28
17:57:53,-219.54,17:58:46,15.63
17:57:53,-219.58,17:58:46,18.27
17:57:53,-219.56,17:58:46,20.54
17:57:53,-219.56,17:58:47,22.25
17:57:53,-219.58,17:58:47,24.06
17:57:53,-219.58,17:58:47,27.02
17:57:53,-219.58,17:58:47,27.25
17:57:53,-219.58,17:58:47,27.22
17:57:53,-219.56,17:58:47,28.48
17:57:53,-219.6,17:58:47,28.91
17:57:53,-219.62,17:58:47,27.45
17:57:53,-219.62,17:58:47,28.11
17:57:53,-219.6,17:58:47,29.16
17:57:53,-219.58,17:58:48,29.03
17:57:53,-219.62,17:58:48,29.03
17:57:53,-219.62,17:58:48,28.75
17:57:53,-219.6,17:58:48,29.07
17:57:53,-219.62,17:58:48,29.57
17:57:53,-219.62,17:58:48,29.35
17:57:53,-219.6,17:58:48,30.13
17:57:53,-219.62,17:58:48,30.56
17:57:53,-219.6,17:58:48,31.58
17:57:53,-219.6,17:58:48,32.46
17:57:53,-219.6,17:58:49,32.89
17:57:53,-219.58,17:58:49,33.51
17:57:53,-219.6,17:58:49,34.12
17:57:53,-219.62,17:58:49,33.73
17:57:53,-219.6,17:58:49,33.75
17:57:53,-219.6,17:58:49,34.69
17:57:53,-219.58,17:58:49,35.13
17:57:53,-219.6,17:58:49,35.04
17:57:53,-219.62,17:58:49,35.13
17:57:53,-219.6,17:58:49,35.53
17:57:53,-219.6,17:58:50,35.26
17:57:53,-219.58,17:58:50,35.35
17:57:53,-219.56,17:58:50,35.77
17:57:53,-219.58,17:58:50,35.94
17:57:53,-219.58,17:58:50,36.49
17:57:53,-219.6,17:58:50,37.32
17:57:53,-219.58,17:58:50,36.03
17:57:53,-219.58,17:58:50,31.92
17:57:53,-219.58,17:58:50,27
17:57:53,-219.62,17:58:50,22.89
17:57:53,-219.6,17:58:51,17.92
17:57:53,-219.58,17:58:51,13.19
17:57:53,-219.58,17:58:51,10.62
17:57:53,-219.58,17:58:51,9.16
17:57:53,-219.58,17:58:51,8.4
17:57:53,-219.58,17:58:51,7.52
17:57:53,-219.6,17:58:51,6.11
17:57:53,-219.6,17:58:51,5.34
17:57:53,-219.58,17:58:51,4.98
17:57:53,-219.6,17:58:51,4.81
17:57:53,-219.62,17:58:52,4.69
17:57:53,-219.62,17:58:52,4.34
17:57:53,-219.58,17:58:52,4.04
